SUBJECT_ID,NUMBER OF AND,NUMBER OF BYTE,Column1,Number of char[],Number of char[inHEx]
407,266308,99865,99865.5,99866,1861A
408,262205,98326,98326.875,98327,18017
409,240520,90195,90195,90195,16053
410,275242,103215,103215.75,103216,19330
411,264581,99217,99217.875,99218,18392
412,254674,95502,95502.75,95503,1750F
413,258166,96812,96812.25,96813,17A2D
414,249469,93550,93550.875,93551,16D6F
415,261000,97875,97875,97875,17E53
416,253753,95157,95157.375,95158,173B6
417,251154,94182,94182.75,94183,16FE7
418,256010,96003,96003.75,96004,17704
419,270270,101351,101351.25,101352,18BE8
420,260897,97836,97836.375,97837,17E2D
421,231972,86989,86989.5,86990,153CE
422,265010,99378,99378.75,99379,18433
423,265605,99601,99601.875,99602,18512
424,299449,112293,112293.375,112294,1B6A6
425,266340,99877,99877.5,99878,18626
426,157443,59041,59041.125,59042,E6A2
427,309928,116223,116223,116223,1C5FF
428,263704,98889,98889,98889,18249
429,267284,100231,100231.5,100232,18788
430,272605,102226,102226.875,102227,18F53
431,117453,44044,44044.875,44045,AC0D
432,84373,31639,31639.875,31640,7B98
433,2056,771,771,771,303
434,12850,4818,4818.75,4819,12D3
435,2421,907,907.875,908,38C
436,1190,446,446.25,447,1BF
437,6650,2493,2493.75,2494,9BE
438,1243,466,466.125,467,1D3
439,3204,1201,1201.5,1202,4B2
440,1545,579,579.375,580,244
441,12161,4560,4560.375,4561,11D1
442,12578,4716,4716.75,4717,126D
443,19971,7489,7489.125,7490,1D42
444,13410,5028,5028.75,5029,13A5
445,1197,448,448.875,449,1C1
446,29411,11029,11029.125,11030,2B16
447,46006,17252,17252.25,17253,4365
448,3866,1449,1449.75,1450,5AA
449,1406,527,527.25,528,210
450,1115,418,418.125,419,1A3
451,1581,592,592.875,593,251
452,1058,396,396.75,397,18D
453,3281,1230,1230.375,1231,4CF
454,22314,8367,8367.75,8368,20B0
455,4135,1550,1550.625,1551,60F
456,11918,4469,4469.25,4470,1176
457,1487,557,557.625,558,22E
458,1486,557,557.25,558,22E
459,1227,460,460.125,461,1CD
460,1153,432,432.375,433,1B1
461,1070,401,401.25,402,192
462,13970,5238,5238.75,5239,1477
463,12299,4612,4612.125,4613,1205
464,72803,27301,27301.125,27302,6AA6
465,1194,447,447.75,448,1C0
466,2444,916,916.5,917,395
467,1042,390,390.75,391,187
468,1239,464,464.625,465,1D1
469,1003,376,376.125,377,179
470,2915,1093,1093.125,1094,446
471,5517,2068,2068.875,2069,815
472,216981,81367,81367.875,81368,13DD8
473,60654,22745,22745.25,22746,58DA
474,24208,9078,9078,9078,2376
475,2038,764,764.25,765,2FD
476,3765,1411,1411.875,1412,584
477,1476,553,553.5,554,22A
478,1123,421,421.125,422,1A6
479,1033,387,387.375,388,184
480,4194,1572,1572.75,1573,625
481,2655,995,995.625,996,3E4
482,19569,7338,7338.375,7339,1CAB
483,2425,909,909.375,910,38E
484,5361,2010,2010.375,2011,7DB
485,12023,4508,4508.625,4509,119D
486,1557,583,583.875,584,248
487,4743,1778,1778.625,1779,6F3
488,497,186,186.375,187,BB
489,12312,4617,4617,4617,1209
490,2002,750,750.75,751,2EF
491,1556,583,583.5,584,248
492,1459,547,547.125,548,224
493,2014,755,755.25,756,2F4
494,12706,4764,4764.75,4765,129D
495,1282,480,480.75,481,1E1
496,242,90,90.75,91,5B
497,13170,4938,4938.75,4939,134B
498,2000,750,750,750,2EE
499,5705,2139,2139.375,2140,85C
500,13356,5008,5008.5,5009,1391
501,1277,478,478.875,479,1DF
502,2092,784,784.5,785,311
503,1083,406,406.125,407,197
504,2555,958,958.125,959,3BF
505,4403,1651,1651.125,1652,674
506,2458,921,921.75,922,39A
507,1662,623,623.25,624,270
508,1172,439,439.5,440,1B8
509,1838,689,689.25,690,2B2
510,13619,5107,5107.125,5108,13F4
511,1175,440,440.625,441,1B9
512,523,196,196.125,197,C5
513,192318,72119,72119.25,72120,119B8
514,3148,1180,1180.5,1181,49D
515,5819,2182,2182.125,2183,887
516,2259,847,847.125,848,350
517,1032,387,387,387,183
518,1099,412,412.125,413,19D
519,19297,7236,7236.375,7237,1C45
520,624,234,234,234,EA
521,624,234,234,234,EA
522,111332,41749,41749.5,41750,A316
523,24153,9057,9057.375,9058,2362
524,1713,642,642.375,643,283
525,1178,441,441.75,442,1BA
526,1138,426,426.75,427,1AB
527,2022,758,758.25,759,2F7
528,1935,725,725.625,726,2D6
529,11578,4341,4341.75,4342,10F6
530,1566,587,587.25,588,24C
531,1364,511,511.5,512,200
532,2018,756,756.75,757,2F5
533,1979,742,742.125,743,2E7
534,1101,412,412.875,413,19D
535,3418,1281,1281.75,1282,502
536,1558,584,584.25,585,249
537,1058,396,396.75,397,18D
538,1762,660,660.75,661,295
539,13487,5057,5057.625,5058,13C2
540,1527,572,572.625,573,23D
541,12622,4733,4733.25,4734,127E
542,15327,5747,5747.625,5748,1674
543,4475,1678,1678.125,1679,68F
544,32417,12156,12156.375,12157,2F7D
545,2575,965,965.625,966,3C6
546,3289,1233,1233.375,1234,4D2
547,1898,711,711.75,712,2C8
548,1291,484,484.125,485,1E5
549,1240,465,465,465,1D1
550,1073,402,402.375,403,193
551,3074,1152,1152.75,1153,481
552,27887,10457,10457.625,10458,28DA
553,2621,982,982.875,983,3D7
554,11649,4368,4368.375,4369,1111
555,3316,1243,1243.5,1244,4DC
556,1408,528,528,528,210
557,13554,5082,5082.75,5083,13DB
558,1603,601,601.125,602,25A
559,3077,1153,1153.875,1154,482
560,40796,15298,15298.5,15299,3BC3
561,1916,718,718.5,719,2CF
562,29490,11058,11058.75,11059,2B33
563,2661,997,997.875,998,3E6
564,2426,909,909.75,910,38E
565,1739,652,652.125,653,28D
566,3372,1264,1264.5,1265,4F1
567,582,218,218.25,219,DB
568,49759,18659,18659.625,18660,48E4
569,17155,6433,6433.125,6434,1922
570,5343,2003,2003.625,2004,7D4
571,1903,713,713.625,714,2CA
572,2802,1050,1050.75,1051,41B
573,4762,1785,1785.75,1786,6FA
574,1657,621,621.375,622,26E
575,1893,709,709.875,710,2C6
576,3569,1338,1338.375,1339,53B
577,3749,1405,1405.875,1406,57E
578,13504,5064,5064,5064,13C8
579,1939,727,727.125,728,2D8
580,354,132,132.75,133,85
581,20168,7563,7563,7563,1D8B
582,31062,11648,11648.25,11649,2D81
583,1207,452,452.625,453,1C5
584,2241,840,840.375,841,349
585,2230,836,836.25,837,345
586,1200,450,450,450,1C2
587,2692,1009,1009.5,1010,3F2
588,1946,729,729.75,730,2DA
589,27131,10174,10174.125,10175,27BF
590,37269,13975,13975.875,13976,3698
591,83461,31297,31297.875,31298,7A42
592,12466,4674,4674.75,4675,1243
593,10548,3955,3955.5,3956,F74
594,1425,534,534.375,535,217
595,1328,498,498,498,1F2
596,1143,428,428.625,429,1AD
597,3583,1343,1343.625,1344,540
598,106993,40122,40122.375,40123,9CBB
599,5226,1959,1959.75,1960,7A8
600,1035,388,388.125,389,185
601,17822,6683,6683.25,6684,1A1C
602,1467,550,550.125,551,227
603,2027,760,760.125,761,2F9
604,355,133,133.125,134,86
605,30869,11575,11575.875,11576,2D38
606,62674,23502,23502.75,23503,5BCF
607,4416,1656,1656,1656,678
608,1669,625,625.875,626,272
609,23889,8958,8958.375,8959,22FF
610,1499,562,562.125,563,233
611,1537,576,576.375,577,241
612,2828,1060,1060.5,1061,425
613,3183,1193,1193.625,1194,4AA
614,283,106,106.125,107,6B
615,32269,12100,12100.875,12101,2F45
616,12661,4747,4747.875,4748,128C
617,17099,6412,6412.125,6413,190D
618,1584,594,594,594,252
619,2673,1002,1002.375,1003,3EB
620,1250,468,468.75,469,1D5
621,6046,2267,2267.25,2268,8DC
622,55885,20956,20956.875,20957,51DD
623,3150,1181,1181.25,1182,49E
624,5038,1889,1889.25,1890,762
625,13349,5005,5005.875,5006,138E
626,12938,4851,4851.75,4852,12F4
627,2345,879,879.375,880,370
628,1494,560,560.25,561,231
629,1140,427,427.5,428,1AC
630,46468,17425,17425.5,17426,4412
631,19182,7193,7193.25,7194,1C1A
632,2699,1012,1012.125,1013,3F5
633,2295,860,860.625,861,35D
634,1086,407,407.25,408,198
635,2024,759,759,759,2F7
636,870,326,326.25,327,147
637,1005,376,376.875,377,179
638,12375,4640,4640.625,4641,1221
639,1698,636,636.75,637,27D
640,1036,388,388.5,389,185
641,18364,6886,6886.5,6887,1AE7
642,7315,2743,2743.125,2744,AB8
643,1026,384,384.75,385,181
644,2972,1114,1114.5,1115,45B
645,12138,4551,4551.75,4552,11C8
646,3603,1351,1351.125,1352,548
647,14247,5342,5342.625,5343,14DF
648,3282,1230,1230.75,1231,4CF
649,22420,8407,8407.5,8408,20D8
650,13177,4941,4941.375,4942,134E
651,1113,417,417.375,418,1A2
652,10764,4036,4036.5,4037,FC5
653,2620,982,982.5,983,3D7
654,13556,5083,5083.5,5084,13DC
655,2334,875,875.25,876,36C
656,3827,1435,1435.125,1436,59C
